;individual;family;tribe;genus;subgenus;species;trait;value
169;K-0151;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;intertegularDistance;0,734
170;K-0151;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;proboscisLength;0,898
171;K-0152;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;intertegularDistance;0,779
172;K-0152;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;proboscisLength;0,924
173;K-0153;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;intertegularDistance;0,91
174;K-0153;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;proboscisLength;1,192
175;K-0154;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;intertegularDistance;0,777
176;K-0154;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;proboscisLength;1,007
177;K-0155;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;intertegularDistance;0,792
178;K-0155;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;proboscisLength;1,044
179;K-0156;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;intertegularDistance;0,959
180;K-0156;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;proboscisLength;1,199
181;K-0159;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;intertegularDistance;1,297
182;K-0159;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;proboscisLength;2,669
183;K-0160;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;intertegularDistance;1,393
184;K-0160;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;proboscisLength;2,801
185;K-0161;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;intertegularDistance;1,313
186;K-0161;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;proboscisLength;2,548
187;K-0162;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;intertegularDistance;1,354
188;K-0162;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;proboscisLength;2,795
189;K-0178;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona mellaria;intertegularDistance;1,276
190;K-0178;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona mellaria;proboscisLength;1,862
191;K-0241;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,16
192;K-0241;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,743
193;K-0243;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,197
194;K-0243;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,714
195;K-0245;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;intertegularDistance;1,379
196;K-0245;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;proboscisLength;2,764
197;K-0246;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;intertegularDistance;1,406
198;K-0246;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;proboscisLength;2,838
199;K-0247;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;intertegularDistance;1,367
200;K-0247;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;proboscisLength;2,674
201;K-0248;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;intertegularDistance;1,404
202;K-0248;Apidae;Meliponini;Trigona;NA;Trigona ferricauda;proboscisLength;2,755
203;K-0250;Apidae;Meliponini;Trigona;NA;Trigona fuscipennis;intertegularDistance;1,426
204;K-0250;Apidae;Meliponini;Trigona;NA;Trigona fuscipennis;proboscisLength;1,626
205;K-0257;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,487
206;K-0257;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;3,117
207;K-0274;Apidae;Meliponini;Partamona;NA;Partamona sp;intertegularDistance;1,725
208;K-0274;Apidae;Meliponini;Partamona;NA;Partamona sp;proboscisLength;3,828
209;K-0275;Apidae;Meliponini;Partamona;NA;Partamona sp;intertegularDistance;1,702
210;K-0275;Apidae;Meliponini;Partamona;NA;Partamona sp;proboscisLength;3,11
211;K-0277;Apidae;Meliponini;Partamona;NA;Partamona sp;intertegularDistance;1,874
212;K-0277;Apidae;Meliponini;Partamona;NA;Partamona sp;proboscisLength;3,209
213;K-0278;Apidae;Meliponini;Partamona;NA;Partamona sp;intertegularDistance;1,741
214;K-0278;Apidae;Meliponini;Partamona;NA;Partamona sp;proboscisLength;3,277
215;K-0279;Apidae;Meliponini;Partamona;NA;Partamona sp;intertegularDistance;1,835
216;K-0279;Apidae;Meliponini;Partamona;NA;Partamona sp;proboscisLength;3,305
217;K-0280;Apidae;Meliponini;Partamona;NA;Partamona sp;intertegularDistance;1,714
218;K-0280;Apidae;Meliponini;Partamona;NA;Partamona sp;proboscisLength;3,359
219;K-0281;Apidae;Meliponini;Partamona;NA;Partamona sp;intertegularDistance;1,738
220;K-0281;Apidae;Meliponini;Partamona;NA;Partamona sp;proboscisLength;3,298
221;K-0296;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona (Gymnotrigona) sp;intertegularDistance;1,926
222;K-0296;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona (Gymnotrigona) sp;proboscisLength;3,126
223;K-0305;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;intertegularDistance;0,921
224;K-0305;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;proboscisLength;1,517
225;K-0308;Apidae;Meliponini;Dolichotrigona;NA;Dolichotrigona schulthessi;intertegularDistance;0,981
226;K-0308;Apidae;Meliponini;Dolichotrigona;NA;Dolichotrigona schulthessi;proboscisLength;1,22
227;K-0313;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;intertegularDistance;1,48
228;K-0313;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;proboscisLength;1,672
