Collection date;Plot;Location;Individual;Group;Genus;Species;Morphotype;Trait;Value;Unit;OBS
;OG52;Canopy;A-0546;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;weight;0,001;g;
;OG52;Canopy;A-0546;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;wingLength;2,374;mm;
;OG52;Canopy;A-0546;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;intertegularDistance;0,759;mm;
;OG52;Canopy;A-0546;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;proboscisLength;0,774;mm;
;OG52;Canopy;A-0546;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;prementumLength;0,38;mm;
;OG52;Canopy;A-0546;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;glossaLength;0,394;mm;
;OG52;Canopy;A-0547;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;weight;0,0009;g;
;OG52;Canopy;A-0547;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;wingLength;2,343;mm;
;OG52;Canopy;A-0547;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;intertegularDistance;0,761;mm;
;OG52;Canopy;A-0547;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;proboscisLength;0,918;mm;
;OG52;Canopy;A-0547;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;prementumLength;0,465;mm;
;OG52;Canopy;A-0547;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;glossaLength;0,453;mm;
;OG52;Canopy;A-0548;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;weight;0,0011;g;
;OG52;Canopy;A-0548;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;wingLength;2,437;mm;
;OG52;Canopy;A-0548;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;intertegularDistance;0,753;mm;
;OG52;Canopy;A-0548;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;proboscisLength;0,894;mm;
;OG52;Canopy;A-0548;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;prementumLength;0,448;mm;
;OG52;Canopy;A-0548;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;glossaLength;0,446;mm;
;OG52;Canopy;A-0549;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;weight;0,0008;g;
;OG52;Canopy;A-0549;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;wingLength;2,31;mm;
;OG52;Canopy;A-0549;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;intertegularDistance;0,695;mm;
;OG52;Canopy;A-0549;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;proboscisLength;1,026;mm;
;OG52;Canopy;A-0549;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;prementumLength;0,455;mm;
;OG52;Canopy;A-0549;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;glossaLength;0,571;mm;
;OG52;Canopy;A-0550;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;weight;0,0008;g;
;OG52;Canopy;A-0550;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;wingLength;2,43;mm;
;OG52;Canopy;A-0550;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;intertegularDistance;0,718;mm;
;OG52;Canopy;A-0550;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;proboscisLength;0,853;mm;
;OG52;Canopy;A-0550;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;prementumLength;0,464;mm;
;OG52;Canopy;A-0550;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;glossaLength;0,389;mm;
;OG52;Canopy;A-0551;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;weight;0,001;g;
;OG52;Canopy;A-0551;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;wingLength;2,529;mm;
;OG52;Canopy;A-0551;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;intertegularDistance;0,782;mm;
;OG52;Canopy;A-0551;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;proboscisLength;0,924;mm;
;OG52;Canopy;A-0551;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;prementumLength;0,442;mm;
;OG52;Canopy;A-0551;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;glossaLength;0,482;mm;
;OG41;Canopy;A-0630;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;weight;0,0011;g;
;OG41;Canopy;A-0630;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;wingLength;2,475;mm;
